name,price,barcode,details
sherlock-holme,£19.99,5051892228022,"Actors,Rachel McAdams, Mark Strong, Robert Downey Jr, James Fox, Jude Law, Bronagh Gallagher, Kelly Reilly, Hans Matheson, Geraldine James, Eddie Marsan,Directed by,Guy Ritchie,Additional info,Language(s): English, 4K: Canadian French, Castilian Spanish, Czech, Hungarian, Latin Spanish, Parisian French, Polish, Thai; Blu-ray: Castilian Spanish, French, German, Italian, Hard of Hearing Subtitles: 4K: English, German; Blu-ray: English, Subtitles: 4K: Arabic, Canadian French, Cantonese, Castilian Spanish, Complex Chinese, Czech, Danish, Dutch, Finnish, Hungarian, Korean, Latin Spanish, Norwegian, Parisian French, Polish, Romanian, Simplified Chinese, Swedish, Thai; Blu-ray: Castilian Spanish, Danish, Dutch, Finnish, French, German, Italian, Norwegian, Portuguese, Swedish, Interactive Menu, Screen ratio 1:1.78, 5.1 DTS-HD Master Audio, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,129 mins"
creed-i,£19.99,5051892220477,"Actors,Tessa Thompson, Sylvester Stallone, Michael B. Jordan, Dolph Lundgren, Milo Ventimiglia, Andre Ward, Florian Munteanu, Phylicia Rashad, Brigitte Nielsen, Russell Hornsby,Directed by,Steven Caple Jr.,Additional info,Language(s): English, 4K: French, Latin Spanish; Blu-ray: Castilian Spanish, French, German, Italian, Hard of Hearing Subtitles: 4K: English; Blu-ray: English, German, Italian, Subtitles: 4K: Danish, Finnish, French, Latin Spanish, Norwegian, Swedish; Blu-ray: Castilian Spanish, Danish, Dutch, Finnish, French, Greek, Norwegian, Swedish, Interactive Menu, Screen ratio 1:1.78, Dolby TrueHD, 5.1 DTS-HD Master Audio, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,130 mins"
fantastic-beasts-the-crimes-of-grindelwal,£19.99,5051892219310,"Actors,Ezra Miller, Johnny Depp, Jude Law, Eddie Redmayne, Dan Fogler, Zoe Kravitz, Katherine Waterston, Callum Turner, Alison Sudol, Claudia Kim,Directed by,David Yates,Additional info,Language(s): English, Blu-ray: Italian, Blu-ray: Catalan, Castilian Spanish, Czech, Russian; 4K: Castilian Spanish, Catalan, Hard of Hearing Subtitles: English, Italian (Blu-ray only), Subtitles: Blu-ray: Castilian Spanish, Czech, Danish, Estonian, Finnish, Greek, Icelandic, Latvian, Lithuanian, Norwegian, Russian, Slovakian, Swedish; 4K:  Castilian Spanish, Danish, Finnish, Norwegian, Portuguese, Swedish, Interactive Menu, Screen ratio 1:1.78, Dolby TrueHD, 5.1 DTS-HD Master Audio, Dolby Digital 5.1,No. of discs,3 disc(s),Duration,133 mins"
the-invisible-ma,£19.99,5053083215132,"Actors,Nash Edgerton, Michael Dorman, Oliver Jackson-Cohen, Benedict Hardie, Storm Reid, Elisabeth Moss, Aldis Hodge, Harriet Dyer, Amali Golden, Zara Michales,Directed by,Leigh Whannell,Additional info,Language(s): English, Interactive Menu,No. of discs,2 disc(s),Duration,124 mins"
american-gangste,£19.99,5053083203528,"Actors,Joe Morton, Josh Brolin, Cuba Gooding Jr., Chiwetel Ejiofor, Idris Elba, Ruby Dee, Russell Crowe, John Ortiz, Yul Vazquez, Lymari Nadal, Denzel Washington, John Hawkes, Cuba Gooding, Jr., Tip 'T.I.' Harris, Lonnie ""Common"" Lynn, Carla Gugino, Ted Levine, Roger Guenveur Smith, Armand Assante, RZA, Tip &#39;T.I.&#39; Harris, Cuba Gooding, Jr.,Directed by,Ridley Scott,Additional info,Language(s): Disc 1: English, Czech, French, Hungarian, Russian, Polish (Voiceover), Disc 2: English, Italian, German, Spanish, Japanese, Hard of Hearing Subtitles: English, Subtitles: Disc 1: Czech, Danish, Dutch, Finnish, French, Greek, Hungarian, Norwegian, Polish, Romanian, Swedish. Disc 2: French, Italian, German, Spanish, Japanese, Danish, Dutch, Finnish, Korean, Norwegian, Portuguese, Swedish, Traditional Mandarin., Interactive Menu, Screen ratio 1:1.85,No. of discs,2 disc(s),Duration,541 mins"
skyscrape,£19.99,5053083170721,"Actors,Pablo Schreiber, Byron Mann, Noah Taylor, Dwayne Johnson, Jason Day, Roland Moller, Hannah Quinlivan, Dwayne 'The Rock' Johnson, Neve Campbell, Chin Han, Byron Lawson, Dwayne &#39;The Rock&#39; Johnson,Directed by,Rawson Marshall Thurber,Additional info,Language(s): English, Czech, French, Hungarian, Polish, Hard of Hearing Subtitles: English, Subtitles: Cantonese, Complex Mandarin, Czech, Danish, Dutch, Finnish, French, Greek, Hungarian, Korean, Norwegian, Polish, Romanian, Swedish, Interactive Menu, Screen ratio 1:2.40,No. of discs,2 disc(s),Duration,98 mins"
the-tow,£19.99,5051892204880,"Actors,Blake Lively, Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner, Brian Scannell, Slaine, Jeff Martineau, Gary Galone, Chris Cooper,Directed by,Ben Affleck,Additional info,Language(s): English, Brazilian Portuguese, Castilian Spanish, French, German, Italian, Latin Spanish, Polish, Russian, Thai, Turkish, Hard of Hearing Subtitles: English, German, Italian, Subtitles: English, Arabic, Cantonese, Castilian Spanish, Complex Chinese, Czech, Danish, Dutch, Finnish, French, Hebrew, Korean, Latin Spanish, Polish, Portuguese, Norwegian, Swedish, Russian, Turkish, Interactive Menu, Screen ratio 1:1.78, 5.1 DTS-HD Master Audio,No. of discs,2 disc(s),Duration,278 mins"
beetlejuic,£19.99,5051892228855,"Actors,Michael Keaton, Jeffrey Jones, Glenn Shadix, Winona Ryder, Alec Baldwin, Catherine O'Hara, Sylvia Sidney, Annie McEnroe, Geena Davis,Directed by,Tim Burton,Additional info,Language(s): English, 4K: Canadian French, Castilian Spanish, Czech, German, Italian, Latin Spanish, Mandarin, Parisian French; Blu-ray: Castilian Spanish, French, Blu-ray: English, Hard of Hearing Subtitles: 4K: English, German, Italian, Subtitles: 4K: Castilian Spanish, Complex Chinese, Czech, Danish, Dutch, Finnish, Korean, Latin Spanish, Norwegian, Parisian French, Simplified Chinese, Swedish, Thai; Blu-ray: English, Brazilian Portuguese, Castilian Spanish, Complex Chinese, Danish, Dutch, Finnish, French, German, Italian, Korean, Latin Spanish, Norwegian, Portuguese, Swedish, Interactive Menu, Screen ratio 1:1.78, Dolby TrueHD, Dolby Digital 2.0, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,92 mins"
it-chapter-two-(2,£19.99,5051892227131,"Actors,Jessica Chastain, Bill Hader, Bill Skarsgard, Finn Wolfhard, Sophia Lillis, Jeremy Ray Taylor, James McAvoy, Jay Ryan, Jaeden Lieberher, Isaiah Mustafa,Directed by,Andy Muschietti,Additional info,Language(s): English, Interactive Menu,No. of discs,2 disc(s),Duration,169 mins"
the-lego-movie-,£19.99,5051892220576,"Directed by,Mike Mitchell,Additional info,Language(s): English, Blu-ray: Catalan, Castilian Spanish, Italian, 4K: English, Parisian French, Bulgarian, Cantonese, Catalan, Dutch, European Portuguese, Flemish, Hungarian, Korean, Romanian, Taiwanese Mandarin, Thai, Hard of Hearing Subtitles: English, Italian (Blu-ray), Subtitles: 4K: Arabic, Bulgarian, Cantonese, Complex Chinese, Dutch, European Portuguese, Hungarian, Korean, Parisian French, Romanian, Russian, Simplified Chinese, Thai; Blu-ray: Castilian Spanish, Interactive Menu, Screen ratio 1:1.78, Dolby TrueHD, 5.1 DTS-HD Master Audio, Dolby Digital 5.1, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,143 mins"
